condition,calibration,object,n,n_pos,n_neg,threshold_at_spec95,sensitivity_at_that_point,specificity_achieved,lr_plus,lr_plus_lo,lr_plus_hi,n_boot_evaluable,lr_minus_at_spec95,lr_minus_at_sens95,threshold_at_sens95,acmg_tier,benign_tier_at_sens95,cal_method
y_assay/BRCA1_excluded,raw,single:phylop,1168,594,574,0.6610340340523798,0.6599326599326599,0.9512195121951219,13.528619528619528,12.921004060538944,16.72856524749048,2000,0.3575066908400242,0.10456555605809348,0.2602496197056613,Moderate,Moderate,isotonic
y_assay/BRCA1_excluded,calibrated_isotonic,single:phylop,1168,594,574,0.8181818181818182,0.6178451178451179,0.9547038327526133,13.64011914011914,12.18649193548387,17.578740157480315,2000,0.4002863181695298,0.12584762352204212,0.12121212121212122,Moderate,Moderate,isotonic
y_assay/BRCA1_excluded,raw,single:phastcons,1168,594,574,0.9885490297422471,0.18181818181818182,0.9703832752613241,6.139037433155081,4.581430745814307,44.21011673151751,1565,0.8431532560796474,0.1105546995377503,0.22907028185081107,Moderate,Moderate,isotonic
y_assay/BRCA1_excluded,calibrated_isotonic,single:phastcons,1168,594,574,1.0,0.14309764309764308,0.9703832752613241,4.831649831649831,4.447004608294931,43.95794392523364,1476,0.883055570667779,0.15909090909090895,0.12686567164179105,Moderate,Moderate,isotonic
y_clinvar/BRCA1_included,raw,fusion_M1,946,555,391,0.45410018460427204,0.9981981981981982,0.9514066496163683,20.54186818397345,19.99185376515001,23.400391304347824,2000,0.0018938293131841324,0.048648648648648596,0.6240914938868625,Strong,Strong,isotonic
y_clinvar/BRCA1_included,calibrated_isotonic,fusion_M1,946,555,391,0.14624191958941968,0.9927927927927928,0.9641943734015346,27.727284427284427,20.008024691358024,85.25777625604549,2000,0.007474848854159237,0.025289905289905254,1.0,Strong,Strong,isotonic
y_clinvar/BRCA1_included,raw,mean_M0b,946,555,391,0.4658311498258862,0.9963963963963964,0.9514066496163683,20.504788999525843,19.953161592505854,23.545984216794416,2000,0.0037876586263682647,0.04889877023553111,0.5854282028375082,Strong,Strong,isotonic
y_clinvar/BRCA1_included,calibrated_isotonic,mean_M0b,946,555,391,0.2857142857142857,0.990990990990991,0.9667519181585678,29.8059598059598,19.995549904640814,37.08497141221341,2000,0.009318842652176005,0.04889877023553111,0.9047619047619048,Strong,Strong,isotonic
y_clinvar/BRCA1_included,raw,single:spliceai,946,555,391,0.516453437073875,0.9765765765765766,0.9514066496163683,20.09691797060218,19.17866909874772,22.99904186812145,2000,0.024619781071393954,0.049535472972972915,0.5630649326692493,Strong,Strong,isotonic
y_clinvar/BRCA1_included,calibrated_isotonic,single:spliceai,946,555,391,0.5677510128508323,0.9531531531531532,0.9539641943734015,20.704604604604604,18.91306716650601,436.0481592115044,2000,0.049107552592807246,0.05072432432432427,0.6,Strong,Strong,isotonic
y_clinvar/BRCA1_included,raw,single:pangolin,946,555,391,0.47623392422662497,0.9963963963963964,0.9514066496163683,20.504788999525843,19.85882352941176,23.51632673732659,2000,0.0037876586263682647,0.04915147705845375,0.558586637534006,Strong,Strong,isotonic
y_clinvar/BRCA1_included,calibrated_isotonic,single:pangolin,946,555,391,0.2899718162673979,0.9783783783783784,0.9514066496163683,20.133997155049787,19.475487626834784,46.776804720684396,2000,0.022725951758209822,0.04745367128786814,0.8181818181818182,Strong,Strong,isotonic
y_clinvar/BRCA1_included,raw,single:alphagenome,946,555,391,0.5054055656573642,0.9603603603603603,0.9514066496163683,19.76320531057373,19.20204429301533,23.051248432026885,2000,0.04166424489005138,0.05058941920644043,0.5162166969720927,Strong,Strong,isotonic
y_clinvar/BRCA1_included,calibrated_isotonic,single:alphagenome,946,555,391,0.7012857757187968,0.918918918918919,0.9616368286445013,23.953153153153153,18.269715142428787,28.95354523227384,2000,0.08431569867740075,0.04451539451539454,0.5294117647058824,Strong,Strong,isotonic
y_clinvar/BRCA1_included,raw,single:gpn_msa,946,555,391,0.542047672522125,0.9027027027027027,0.9514066496163683,18.576671408250355,17.880904522613065,21.34809232218559,2000,0.1022667829119442,0.05729404102898073,0.4531517643028434,Moderate,Moderate,isotonic
y_clinvar/BRCA1_included,calibrated_isotonic,single:gpn_msa,946,555,391,0.6923076923076923,0.8990990990990991,0.9514066496163683,18.502513039355147,17.592036063110445,41.38621659634318,2000,0.10605444153831246,0.053847478051299705,0.23076923076923078,Moderate,Moderate,isotonic
y_clinvar/BRCA1_included,raw,single:nt,946,555,391,0.7029257239111254,0.5747747747747748,0.9514066496163683,11.828259838786156,9.553171008781446,15.727308829016918,2000,0.4469437179114598,0.17612612612612594,0.15384615384615385,Moderate,Moderate,isotonic
y_clinvar/BRCA1_included,calibrated_isotonic,single:nt,946,555,391,0.8284801602353826,0.5711711711711712,0.9539641943734015,12.407107107107107,8.654095286892526,17.752809106723447,2000,0.44952298142646663,0.1389163811699021,0.2159090909090909,Moderate,Moderate,isotonic
y_clinvar/BRCA1_included,raw,single:cadd,879,517,362,0.46988645296601456,0.9709864603481625,0.9502762430939227,19.527616591446378,19.315068493150683,22.53721729291606,2000,0.030531689982456908,0.049588769376606126,0.5065316603794686,Strong,Strong,isotonic
y_clinvar/BRCA1_included,calibrated_isotonic,single:cadd,879,517,362,0.6,0.9555125725338491,0.9558011049723757,21.618471953578336,18.808899725693387,43.64032697547683,2000,0.04654464954551044,0.04654464954551044,0.6,Strong,Strong,isotonic
y_clinvar/BRCA1_included,raw,single:alphamissense,0,0,0,,,,,,,0,,,,not evaluable,not evaluable,isotonic
