set,scheme,model,Brier,ECE,actionable_frac,actionable_acc
y_assay/BRCA1_excluded,unweighted,single:cadd,0.10417817784780867,0.029329935330842518,0.6713221601489758,0.9375866851595007
y_assay/BRCA1_excluded,unweighted,single:alphamissense,,,,
y_assay/BRCA1_excluded,unweighted,single:gnomad_af,0.24440952807793695,0.08203100026622531,0.019656019656019656,0.625
y_assay/BRCA1_excluded,unweighted,single:phylop,0.12940848149937878,0.036336942718981614,0.42759211653813195,0.9298597194388778
y_assay/BRCA1_excluded,unweighted,single:phastcons,0.1491670443549131,0.06769496025903,0.17737789203084833,0.821256038647343
y_assay/BRCA1_excluded,quintile,fusion_M1,0.07234389103912685,0.029548522594335956,0.7387432035709381,0.9590500066923577
y_assay/BRCA1_excluded,quintile,mean_M0b,0.08559541405210627,0.022306531579116586,0.715147198927487,0.9579523366574038
y_assay/BRCA1_excluded,quintile,single:spliceai,0.09320877988935197,0.05298774036658442,0.6329147575821725,0.9245926748020165
y_assay/BRCA1_excluded,quintile,single:pangolin,0.08466628987571993,0.022844535004732432,0.6788273791165639,0.9639341338551046
y_assay/BRCA1_excluded,quintile,single:alphagenome,0.09227392373570296,0.04270883899618007,0.7014781524598052,0.957607917268952
y_assay/BRCA1_excluded,quintile,single:gpn_msa,0.124080267066345,0.050134997545744076,0.48294052175494867,0.9385481433514639
y_assay/BRCA1_excluded,quintile,single:nt,0.18005638469596127,0.07123677596436649,0.19886620685321904,0.9272606752989411
y_assay/BRCA1_excluded,quintile,single:cadd,0.1079438895313402,0.03925910726085295,0.6670886182486142,0.9325830918160484
y_assay/BRCA1_excluded,quintile,single:alphamissense,,,,
y_assay/BRCA1_excluded,quintile,single:gnomad_af,0.23611070569255138,0.08036136942380998,0.019371489435093,0.6259028739359591
y_assay/BRCA1_excluded,quintile,single:phylop,0.1321547065135932,0.04378958820840814,0.40632809227763644,0.9231491164325046
y_assay/BRCA1_excluded,quintile,single:phastcons,0.1541620817271536,0.08019156708287033,0.17438699523978743,0.8160745194410638
y_assay/BRCA1_excluded,decile,fusion_M1,0.07193175571955125,0.028978675937661888,0.7396398683993968,0.9596245927237406
y_assay/BRCA1_excluded,decile,mean_M0b,0.08511498419870261,0.021420717585132098,0.7149463102618849,0.9585398506725641
y_assay/BRCA1_excluded,decile,single:spliceai,0.0927418577508999,0.05322932488539417,0.6333255396452034,0.925363180332632
y_assay/BRCA1_excluded,decile,single:pangolin,0.08407455220701976,0.02318773308448322,0.6801784078346463,0.9644818159983405
y_assay/BRCA1_excluded,decile,single:alphagenome,0.09200433276239783,0.04263145994490276,0.7013753535299121,0.9583289022059782
