tool,stratum,clinvar_arm,n,positive_rate,k_genes,n_pos,n_neg,auroc,auroc_lo,auroc_hi,auroc_i2_pct,auprc_median,rho_median,status,reason,e3_best_tier_pp3,e3_threshold_at_best_tier,e3_logo_heldout_lr_median
gpn_msa,s3_10,classified,673,0.1411589895988113,5,93.0,457.0,0.8719237911253637,0.7983671608765627,0.9212920510379368,28.448049038041713,0.7060351668590774,0.4683648941547278,ok,,,,
gpn_msa,s3_10,recorded_unclassified,797,0.2521957340025094,6,196.0,585.0,0.7708125926747006,0.7210750149422954,0.8139691830778583,13.173015257398154,0.5481754401537097,0.4415742097572433,ok,,,,
gpn_msa,s3_10,unrecorded,1605,0.1707165109034268,5,269.0,1303.0,0.7662901406092167,0.728819176068531,0.8000042739399158,1.7755086370731181,0.5233185753061036,0.3876210481741577,ok,,,,
gpn_msa,s11_50,all,4537,0.049592241569318934,5,222.0,3970.0,0.6447115907742174,0.5213202591637385,0.7514598915644279,81.82077389314117,0.13142868464767,0.1534999223910517,ok,,,,
gpn_msa,s11_50,classified,736,0.043478260869565216,1,,,,,,,,,not evaluable,fewer than two genes clear the minimum count,,,
gpn_msa,s11_50,recorded_unclassified,311,0.06109324758842444,0,,,,,,,,,not evaluable,fewer than two genes clear the minimum count,,,
gpn_msa,s11_50,unrecorded,3490,0.0498567335243553,4,165.0,3267.0,0.6627545815705319,0.5088086594884531,0.7885070049285845,82.76280656245908,0.13314737657016273,0.16141175910999878,ok,,,,
gpn_msa,all_1_50,all,8453,0.18916361055246658,7,1599.0,6854.0,0.8908131637424271,0.8606200204184119,0.9151108714280113,82.78654415403456,0.7703614665748114,0.5495819795856021,ok,,,,
gpn_msa,all_1_50,classified,1889,0.31551085230280573,7,596.0,1293.0,0.9465511477537933,0.9135993605490378,0.9673843177506315,71.2486195082086,0.9096347427436514,0.721692998023935,ok,,,,
gpn_msa,all_1_50,recorded_unclassified,1203,0.2543640897755611,6,300.0,886.0,0.813909065997647,0.756922393442358,0.8600067983261159,57.41726921757226,0.6868378277607394,0.5037620977167775,ok,,,,
gpn_msa,all_1_50,unrecorded,5361,0.13001305726543555,6,697.0,4664.0,0.8432651668216932,0.8210891429732775,0.8631505938881259,11.23776499446749,0.6431939125577545,0.4314737118007649,ok,,,,
nt,pm12,all,841,0.9560047562425684,2,298.0,28.0,0.6388324086586471,0.4583376769781168,0.7871174217151927,65.7137536117262,0.946636837849568,0.12358385533783894,ok,,,,
nt,pm12,classified,480,0.9770833333333333,0,,,,,,,,,not evaluable,fewer than two genes clear the minimum count,,,
nt,pm12,recorded_unclassified,95,0.9052631578947369,0,,,,,,,,,not evaluable,fewer than two genes clear the minimum count,,,
nt,pm12,unrecorded,266,0.9360902255639098,1,,,,,,,,,not evaluable,fewer than two genes clear the minimum count,,,
nt,s3_10,all,3075,0.18536585365853658,7,570.0,2505.0,0.6910905468676577,0.6331102664873919,0.7436185918694322,75.42228221978294,0.3381413360570158,0.2795253328105501,ok,,,,
