tool,stratum,threshold_basis,threshold,gene_set,clinvar_arm,n_genes,n_pos,n_neg,n_in_band,status,sens,spec,band_lr
alphagenome,s3_50,fitted moderate,2.199358892440796,no_BRCA1,classified,6,86,1084,40,ok,0.4069767441860465,0.9953874538745388,88.23255813953489
alphagenome,s3_50,fitted moderate,2.199358892440796,no_BRCA1,recorded_unclassified,6,154,358,129,ok,0.6623376623376623,0.9245810055865922,8.782106782106782
alphagenome,s3_50,fitted moderate,2.199358892440796,no_BRCA1,unrecorded,6,448,4647,273,ok,0.44419642857142855,0.9840757477942759,27.894335183397686
cadd,s3_10,fitted supporting,19.3,all_genes,all,7,570,2505,382,ok,0.3526315789473684,0.9277445109780439,4.8803431230008725
cadd,s3_10,fitted supporting,19.3,all_genes,classified,7,95,578,44,ok,0.30526315789473685,0.9740484429065744,11.76280701754386
cadd,s3_10,fitted supporting,19.3,all_genes,recorded_unclassified,7,201,596,146,ok,0.3781094527363184,0.8825503355704698,3.2193319118692254
cadd,s3_10,fitted supporting,19.3,all_genes,unrecorded,6,274,1331,192,ok,0.35036496350364965,0.9278737791134485,4.857664233576643
cadd,s3_10,fitted supporting,19.3,no_BRCA1,all,6,466,2119,311,ok,0.3605150214592275,0.9325153374233128,5.342177136168552
cadd,s3_10,fitted supporting,19.3,no_BRCA1,classified,6,54,476,23,ok,0.2777777777777778,0.9831932773109243,16.52777777777778
cadd,s3_10,fitted supporting,19.3,no_BRCA1,recorded_unclassified,6,138,312,96,ok,0.41304347826086957,0.875,3.3043478260869565
cadd,s3_10,fitted supporting,19.3,no_BRCA1,unrecorded,6,274,1331,192,ok,0.35036496350364965,0.9278737791134485,4.857664233576643
cadd,s11_50,fitted supporting,22.6,all_genes,all,6,225,4312,26,ok,0.044444444444444446,0.9962894248608535,11.977777777777778
cadd,s11_50,fitted supporting,22.6,all_genes,classified,6,32,704,4,ok,0.0,0.9943181818181818,
cadd,s11_50,fitted supporting,22.6,all_genes,recorded_unclassified,5,19,292,3,ok,0.05263157894736842,0.9931506849315068,
cadd,s11_50,fitted supporting,22.6,all_genes,unrecorded,5,174,3316,19,ok,0.05172413793103448,0.996984318455971,17.151724137931033
cadd,s11_50,fitted supporting,22.6,no_BRCA1,all,5,222,3970,25,ok,0.04054054054054054,0.9959697732997481,10.059121621621623
cadd,s11_50,fitted supporting,22.6,no_BRCA1,classified,5,32,608,4,ok,0.0,0.993421052631579,
cadd,s11_50,fitted supporting,22.6,no_BRCA1,recorded_unclassified,4,16,46,2,ok,0.0,0.9565217391304348,
cadd,s11_50,fitted supporting,22.6,no_BRCA1,unrecorded,5,174,3316,19,ok,0.05172413793103448,0.996984318455971,17.151724137931033
cadd,s3_50,fitted moderate,22.6,all_genes,all,7,795,6817,160,ok,0.10943396226415095,0.9892914771893795,10.21933316102352
cadd,s3_50,fitted moderate,22.6,all_genes,classified,7,127,1282,15,ok,0.07874015748031496,0.9960998439937597,20.188976377952756
cadd,s3_50,fitted moderate,22.6,all_genes,recorded_unclassified,7,220,888,51,ok,0.1318181818181818,0.9752252252252253,5.320661157024793
cadd,s3_50,fitted moderate,22.6,all_genes,unrecorded,6,448,4647,94,ok,0.10714285714285714,0.990101140520766,10.823757763975156
cadd,s3_50,fitted moderate,22.6,no_BRCA1,all,6,688,6089,142,ok,0.11337209302325581,0.9894892428970274,10.786291787790697
cadd,s3_50,fitted moderate,22.6,no_BRCA1,classified,6,86,1084,11,ok,0.06976744186046512,0.9953874538745388,15.125581395348837
cadd,s3_50,fitted moderate,22.6,no_BRCA1,recorded_unclassified,6,154,358,37,ok,0.15584415584415584,0.9636871508379888,4.291708291708291
cadd,s3_50,fitted moderate,22.6,no_BRCA1,unrecorded,6,448,4647,94,ok,0.10714285714285714,0.990101140520766,10.823757763975156
phylop,s3_10,fitted moderate,5.34067,all_genes,all,7,570,2505,68,ok,0.08596491228070176,0.9924151696606787,11.333795013850416
phylop,s3_10,fitted moderate,5.34067,all_genes,classified,7,95,578,10,ok,0.10526315789473684,1.0,60.94736842105263
phylop,s3_10,fitted moderate,5.34067,all_genes,recorded_unclassified,7,201,596,24,ok,0.07960199004975124,0.9865771812080537,5.930348258706467
phylop,s3_10,fitted moderate,5.34067,all_genes,unrecorded,6,274,1331,34,ok,0.08394160583941605,0.9917355371900827,10.156934306569342
phylop,s3_10,fitted moderate,5.34067,no_BRCA1,all,6,466,2119,55,ok,0.08369098712446352,0.9924492685228882,11.083825107296137
phylop,s3_10,fitted moderate,5.34067,no_BRCA1,classified,6,54,476,5,ok,0.09259259259259259,1.0,
phylop,s3_10,fitted moderate,5.34067,no_BRCA1,recorded_unclassified,6,138,312,16,ok,0.07971014492753623,0.9839743589743589,4.973913043478261
phylop,s3_10,fitted moderate,5.34067,no_BRCA1,unrecorded,6,274,1331,34,ok,0.08394160583941605,0.9917355371900827,10.156934306569342
phylop,s3_50,fitted moderate,5.58181,all_genes,all,7,795,6817,53,ok,0.04150943396226415,0.9970661581340766,14.148490566037735
phylop,s3_50,fitted moderate,5.58181,all_genes,classified,7,127,1282,8,ok,0.05511811023622047,0.999219968798752,
phylop,s3_50,fitted moderate,5.58181,all_genes,recorded_unclassified,7,220,888,16,ok,0.03636363636363636,0.990990990990991,4.036363636363636
phylop,s3_50,fitted moderate,5.58181,all_genes,unrecorded,6,448,4647,29,ok,0.04017857142857143,0.9976328814288788,16.97362012987013
phylop,s3_50,fitted moderate,5.58181,no_BRCA1,all,6,688,6089,44,ok,0.03924418604651163,0.9972080801445229,14.056344049247606
phylop,s3_50,fitted moderate,5.58181,no_BRCA1,classified,6,86,1084,4,ok,0.03488372093023256,0.9990774907749077,
phylop,s3_50,fitted moderate,5.58181,no_BRCA1,recorded_unclassified,6,154,358,11,ok,0.03896103896103896,0.9860335195530726,2.78961038961039
phylop,s3_50,fitted moderate,5.58181,no_BRCA1,unrecorded,6,448,4647,29,ok,0.04017857142857143,0.9976328814288788,16.97362012987013
phastcons,s3_10,fitted supporting,1.0,all_genes,all,7,570,2505,508,ok,0.4263157894736842,0.8942115768463074,4.029890764647467
phastcons,s3_10,fitted supporting,1.0,all_genes,classified,7,95,578,71,ok,0.45263157894736844,0.9515570934256056,9.343609022556391
phastcons,s3_10,fitted supporting,1.0,all_genes,recorded_unclassified,7,201,596,177,ok,0.4527363184079602,0.8557046979865772,3.1375679740830726
phastcons,s3_10,fitted supporting,1.0,all_genes,unrecorded,6,274,1331,260,ok,0.3978102189781022,0.8865514650638617,3.506525837482477
phastcons,s3_10,fitted supporting,1.0,no_BRCA1,all,6,466,2119,419,ok,0.40987124463519314,0.8924020764511562,3.8092858218507644
phastcons,s3_10,fitted supporting,1.0,no_BRCA1,classified,6,54,476,42,ok,0.3888888888888889,0.9558823529411765,8.814814814814815
phastcons,s3_10,fitted supporting,1.0,no_BRCA1,recorded_unclassified,6,138,312,117,ok,0.4420289855072464,0.8205128205128205,2.4627329192546585
phastcons,s3_10,fitted supporting,1.0,no_BRCA1,unrecorded,6,274,1331,260,ok,0.3978102189781022,0.8865514650638617,3.506525837482477
