tool,stratum,tier,side,heldout_gene,threshold_from_6_genes,heldout_lr
pangolin,s3_50,moderate,pp3,BAP1,0.4281759262084961,16.557496214033314
pangolin,s3_50,strong,pp3,BRCA1,0.6837670207023621,180.29906542056074
pangolin,s3_50,strong,pp3,BRCA2,0.6691827774047852,41.111111111111114
pangolin,s3_50,strong,pp3,BARD1,0.6848793029785156,190.3927203065134
pangolin,s3_50,strong,pp3,PALB2,0.6740013957023621,227.35294117647058
pangolin,s3_50,strong,pp3,RAD51C,0.6670093536376953,65.80645161290323
pangolin,s3_50,strong,pp3,VHL,0.6828820109367371,
pangolin,s3_50,strong,pp3,BAP1,0.6720130443572998,44.92343934040047
pangolin,s3_50,very_strong,pp3,BRCA1,,
pangolin,s3_50,very_strong,pp3,BRCA2,,
pangolin,s3_50,very_strong,pp3,BARD1,,
pangolin,s3_50,very_strong,pp3,PALB2,,
pangolin,s3_50,very_strong,pp3,RAD51C,,
pangolin,s3_50,very_strong,pp3,VHL,,
pangolin,s3_50,very_strong,pp3,BAP1,,
pangolin,all_1_50,supporting,pp3,BRCA1,0.4565170109272003,35.88577827547593
pangolin,all_1_50,supporting,pp3,BRCA2,0.40933212637901306,13.941052631578948
pangolin,all_1_50,supporting,pp3,BARD1,0.40933212637901306,57.16822899229997
pangolin,all_1_50,supporting,pp3,PALB2,0.4513181746006012,30.54979253112033
pangolin,all_1_50,supporting,pp3,RAD51C,0.4337601959705353,29.363636363636363
pangolin,all_1_50,supporting,pp3,VHL,0.4212646484375,45.42553191489361
pangolin,all_1_50,supporting,pp3,BAP1,0.4434041976928711,22.08509316770186
pangolin,all_1_50,moderate,pp3,BRCA1,0.6153752207756042,55.672340425531914
pangolin,all_1_50,moderate,pp3,BRCA2,0.5797222256660461,19.204511278195486
pangolin,all_1_50,moderate,pp3,BARD1,0.619317352771759,225.56171983356447
pangolin,all_1_50,moderate,pp3,PALB2,0.517758846282959,36.6597510373444
pangolin,all_1_50,moderate,pp3,RAD51C,0.617111086845398,53.85314685314685
pangolin,all_1_50,moderate,pp3,VHL,0.5820176601409912,85.6595744680851
pangolin,all_1_50,moderate,pp3,BAP1,0.6180932521820068,38.941391304347825
pangolin,all_1_50,strong,pp3,BRCA1,0.8736386299133301,46.91489361702128
pangolin,all_1_50,strong,pp3,BRCA2,0.8676026463508606,26.139473684210525
pangolin,all_1_50,strong,pp3,BARD1,0.8757710456848145,280.8543689320388
pangolin,all_1_50,strong,pp3,PALB2,0.8737268447875977,212.51452282157678
pangolin,all_1_50,strong,pp3,RAD51C,0.8738486766815186,194.9181818181818
pangolin,all_1_50,strong,pp3,VHL,0.8733465671539307,
pangolin,all_1_50,strong,pp3,BAP1,0.8528625965118408,41.78260869565217
pangolin,all_1_50,very_strong,pp3,BRCA1,,
pangolin,all_1_50,very_strong,pp3,BRCA2,,
pangolin,all_1_50,very_strong,pp3,BARD1,,
pangolin,all_1_50,very_strong,pp3,PALB2,,
pangolin,all_1_50,very_strong,pp3,RAD51C,,
pangolin,all_1_50,very_strong,pp3,VHL,,
pangolin,all_1_50,very_strong,pp3,BAP1,,
alphagenome,pm12,supporting,pp3,BRCA1,,
alphagenome,pm12,supporting,pp3,BRCA2,,
