gene_set,stratum,clinvar_arm,tool,n,k_genes,n_pos,n_neg,auroc,auroc_lo,auroc_hi,auprc_median,status,walker_sens_pp3,walker_spec_pp3,walker_lr_pp3,walker_lr_bp4,walker_lr_bp4_for_tier,walker_tier_pp3
all_genes,s3_50,recorded_unclassified,gpn_msa,1108,6,215.0,877.0,0.7627259778040301,0.6854054552156965,0.8258707391786584,0.5277825634903438,ok,0.990909090909091,0.04391891891891892,1.0364278830709928,0.2374331550802139,0.2374331550802139,below supporting
all_genes,s3_50,recorded_unclassified,nt,1108,6,215.0,877.0,0.682376191011282,0.6024909971009806,0.7527943845272093,0.4617691973875518,ok,0.85,0.3277027027027027,1.264321608040201,0.5045454545454545,0.5045454545454545,below supporting
all_genes,s3_50,recorded_unclassified,spliceai_walker,1108,6,215.0,877.0,0.8888687186398938,0.8270967882559224,0.9304281556900967,0.7693933861995369,ok,0.8636363636363636,0.8277027027027027,5.0124777183600715,0.13895678092399405,0.13895678092399405,Moderate
all_genes,s3_50,recorded_unclassified,avi,1108,6,215.0,877.0,0.8995366029350602,0.832502183780643,0.9416243218645745,0.8465411578685837,ok,0.9454545454545454,0.536036036036036,2.0377758164165933,0.07294633077765607,0.07294633077765607,below supporting
all_genes,s3_50,recorded_unclassified,avi_splice_sites,1108,6,215.0,877.0,0.8855844702337903,0.8233213690562824,0.9278289152948201,0.7795045279241715,ok,0.7909090909090909,0.911036036036036,8.890218642117377,0.18171896316507505,0.18171896316507505,Moderate
all_genes,s3_50,recorded_unclassified,avi_splice_site_usage,1108,6,215.0,877.0,0.9075144987038428,0.8394187342554532,0.9485051677580429,0.8320495603593334,ok,0.8090909090909091,0.8963963963963963,7.809486166007905,0.16302861483919978,0.16302861483919978,Moderate
all_genes,s3_50,recorded_unclassified,avi_splice_junctions,1108,6,215.0,877.0,0.9001778495475112,0.8382144302151371,0.9401052149090476,0.8446844132783902,ok,0.9727272727272728,0.3333333333333333,1.4590909090909092,0.0,0.07250952640174196,below supporting
all_genes,s3_50,unrecorded,spliceai,5095,6,448.0,4647.0,0.8893132778142698,0.807343765366558,0.9390405190689348,0.6659935607882456,ok,0.5848214285714286,0.9322143318269851,8.627508503401362,0.3547563728093468,0.3547563728093468,Moderate
all_genes,s3_50,unrecorded,pangolin,5095,6,448.0,4647.0,0.8975711908121524,0.8391356329474041,0.936388612229426,0.6790540821710521,ok,0.6160714285714286,0.9302775984506133,8.836061507936508,0.31213750577326177,0.31213750577326177,Moderate
all_genes,s3_50,unrecorded,alphagenome,5095,6,448.0,4647.0,0.8908754437780939,0.8176010100383275,0.936982458577882,0.7102081420929667,ok,1.0,0.0,1.0,,,below supporting
all_genes,s3_50,unrecorded,cadd,5095,6,448.0,4647.0,0.750648513038967,0.6792527584666761,0.81058381825411,0.34928653051801073,ok,1.0,0.022595222724338282,1.0231175693527081,0.0,0.5556839923469388,below supporting
all_genes,s3_50,unrecorded,phylop,5095,6,448.0,4647.0,0.7308791735121726,0.687159927701197,0.7705289713639432,0.3423988988778529,ok,0.8147321428571429,0.4465246395523994,1.4720296531326373,0.36241539363230735,0.36241539363230735,below supporting
all_genes,s3_50,unrecorded,phastcons,5095,6,448.0,4647.0,0.7192367862832387,0.6715662537989734,0.76243579903983,0.2599359526346846,ok,0.6316964285714286,0.7221863567893264,2.2738135581498287,0.4902064204698892,0.4902064204698892,Supporting
all_genes,s3_50,unrecorded,gpn_msa,5095,6,448.0,4647.0,0.7649834422829913,0.7370055548327108,0.790829704276152,0.38620845387525427,ok,0.9799107142857143,0.05616526791478373,1.0382227745749462,0.3472056186491333,0.3472056186491333,below supporting
all_genes,s3_50,unrecorded,nt,5095,6,448.0,4647.0,0.7046004254966066,0.6520302382640067,0.7522462695604148,0.2888458217411465,ok,0.8392857142857143,0.3204217774908543,1.2350097258662807,0.4817315409309792,0.4817315409309792,below supporting
