tool,stratum,tier,path_cut_lr,n_genes,k,n_subsets,n_subsets_fitted,n_subsets_reached,frac_subsets_reached,threshold_median,threshold_q25,threshold_q75,threshold_min,threshold_max,threshold_all_genes,n_pairs,n_pairs_evaluable,n_pairs_cleared,frac_pairs_cleared,heldout_lr_median,heldout_lr_q25,heldout_lr_q75
avi,s3_10,moderate,4.33,7,3,35,35,35,1.0,1.0000388622283936,0.9666224420070648,1.0229647755622864,0.7901682257652283,1.05744206905365,1.0710335969924927,100,80,80,1.0,21.53560606060606,11.367693902315706,34.30766283524905
avi,s3_10,moderate,4.33,7,4,35,35,35,1.0,1.030950903892517,0.9933672249317169,1.0498470067977905,0.8344476222991943,1.0776582956314087,1.0710335969924927,75,60,60,1.0,24.810606060606062,11.574593321917808,39.0
avi,s3_10,moderate,4.33,7,5,21,21,21,1.0,1.0568383932113647,1.0318057537078857,1.0661334991455078,0.9579296708106995,1.076935887336731,1.0710335969924927,30,24,24,1.0,29.929063360881543,16.366220423412205,47.083333333333336
avi,s3_10,moderate,4.33,7,6,7,7,7,1.0,1.0689042806625366,1.0571402311325073,1.0724917650222778,1.0345228910446167,1.074555516242981,1.0710335969924927,5,4,4,1.0,36.234848484848484,22.135235056039853,48.65517241379311
avi,s3_10,strong,18.7,7,2,21,21,12,0.5714285714285714,1.3941581845283508,1.305328369140625,1.4574079811573029,1.1557140350341797,1.5480200052261353,1.3645528554916382,75,28,28,1.0,51.35057471264368,39.46746575342466,126.53409090909089
avi,s3_10,strong,18.7,7,3,35,35,33,0.9428571428571428,1.3406057357788086,1.2965317964553833,1.400549054145813,1.170394778251648,1.5894373655319214,1.3645528554916382,100,63,63,1.0,66.81159420289855,35.082191780821915,116.33829676071056
avi,s3_10,strong,18.7,7,4,35,35,35,1.0,1.3239017724990845,1.2913445234298706,1.377144455909729,1.1919814348220825,1.5622516870498657,1.3645528554916382,75,50,50,1.0,70.97701149425288,31.708904109589042,141.5327847439916
avi,s3_10,strong,18.7,7,5,21,21,21,1.0,1.2963987588882446,1.260392189025879,1.4159101247787476,1.202707290649414,1.4338535070419312,1.3645528554916382,30,20,20,1.0,72.55747126436782,29.347602739726028,148.86363636363635
avi,s3_10,strong,18.7,7,6,7,7,7,1.0,1.3679836988449097,1.2957923412322998,1.4073548913002014,1.202707290649414,1.4338535070419312,1.3645528554916382,5,3,3,1.0,67.24137931034483,45.764525271610765,108.05250783699059
avi,s11_50,moderate,4.33,6,2,15,15,12,0.8,0.7214831709861755,0.6649375259876251,0.7562398165464401,0.6164355278015137,1.0643736124038696,0.6985705494880676,40,19,19,1.0,28.817518248175183,12.478858659588587,58.916666666666664
avi,s11_50,moderate,4.33,6,3,20,20,20,1.0,0.6842817664146423,0.6516053080558777,0.6978509277105331,0.5985968112945557,0.9722549915313721,0.6985705494880676,40,30,30,1.0,13.341443633414436,9.977777777777778,58.916666666666664
avi,s11_50,moderate,4.33,6,4,15,15,15,1.0,0.6704428195953369,0.6627852320671082,0.7248314619064331,0.6226066946983337,0.912575900554657,0.6985705494880676,20,15,15,1.0,13.26520681265207,9.977777777777778,57.18382352941176
avi,s11_50,moderate,4.33,6,5,6,6,6,1.0,0.691426157951355,0.6738631725311279,0.7255641222000122,0.6562227606773376,0.7926048636436462,0.6985705494880676,4,3,3,1.0,13.26520681265207,11.621492295214924,36.09093673965937
