condition,object,target_spec,threshold,sensitivity,specificity_achieved,n,n_pos,n_neg,lr_plus,lr_minus,lr_plus_interp,sensitivity_interp,acmg_tier_observed,acmg_tier,tier_basis
y_assay/BRCA1_included,gpn_msa,0.975,0.7394889174086254,0.5213154689403167,0.9754098360655737,1675,821,854,21.20016240357288,0.4907522083132888,20.85261875761265,0.5213154689403167,Strong,Strong,interpolated to the nominal specificity
y_assay/BRCA1_included,gpn_msa,0.99,0.8781913919413918,0.2496954933008526,0.990632318501171,1675,821,854,26.654993909866015,0.7573995847766807,24.96954933008524,0.2496954933008526,Strong,Strong,interpolated to the nominal specificity
y_assay/BRCA1_included,nt,0.9,0.7197802197802198,0.48112058465286234,0.9004683840749415,1675,821,854,4.83384681521817,0.5762327967574195,4.811205846528624,0.48112058465286234,Moderate,Moderate,interpolated to the nominal specificity
y_assay/BRCA1_included,nt,0.95,0.8230906593406593,0.31790499390986604,0.9508196721311475,1675,821,854,6.46406820950061,0.7173757822672099,6.358099878197315,0.31790499390986604,Moderate,Moderate,interpolated to the nominal specificity
y_assay/BRCA1_included,nt,0.975,0.8832005494505494,0.2241169305724726,0.9754098360655737,1675,821,854,9.11408850994722,0.7954431468080533,8.964677222898898,0.22411693057247262,Moderate,Moderate,interpolated to the nominal specificity
y_assay/BRCA1_included,nt,0.99,0.9405864816448758,0.12058465286236297,0.990632318501171,1675,821,854,12.872411693057247,0.8877313315077329,12.058465286236286,0.12058465286236297,Moderate,Moderate,interpolated to the nominal specificity
y_assay/BRCA1_included,cadd,0.9,0.5698481179269022,0.7911802853437094,0.9020618556701031,1547,771,776,8.07836712403577,0.2314915693904021,7.911802853437096,0.7911802853437094,Moderate,Moderate,interpolated to the nominal specificity
y_assay/BRCA1_included,cadd,0.95,0.6730156075928132,0.6342412451361867,0.9510309278350515,1547,771,776,12.951873848044235,0.3845918614828172,12.726329442282738,0.6363164721141374,Moderate,Moderate,interpolated to the nominal specificity
y_assay/BRCA1_included,cadd,0.975,0.7217026270167483,0.5538261997405967,0.9755154639175257,1547,771,776,22.61942794730016,0.45737235006776356,22.173800259403354,0.5543450064850843,Strong,Strong,interpolated to the nominal specificity
y_assay/BRCA1_included,cadd,0.99,0.8562651501791138,0.29831387808041504,0.9948453608247423,1547,771,776,57.87289234760052,0.7053218013077692,33.12321660181583,0.3312321660181586,Strong,Strong,interpolated to the nominal specificity
y_assay/BRCA1_included,alphamissense,0.9,,,,1,0,1,,,,,not evaluable,not evaluable,interpolated to the nominal specificity
y_assay/BRCA1_included,alphamissense,0.95,,,,1,0,1,,,,,not evaluable,not evaluable,interpolated to the nominal specificity
y_assay/BRCA1_included,alphamissense,0.975,,,,1,0,1,,,,,not evaluable,not evaluable,interpolated to the nominal specificity
y_assay/BRCA1_included,alphamissense,0.99,,,,1,0,1,,,,,not evaluable,not evaluable,interpolated to the nominal specificity
y_assay/BRCA1_included,gnomad_af,0.9,0.8822718500137855,0.17676767676767677,0.9013605442176871,492,198,294,1.7920585161964473,0.9133218982275586,1.7676767676767684,0.1767676767676768,below supporting,below supporting,interpolated to the nominal specificity
y_assay/BRCA1_included,gnomad_af,0.95,0.9623655913978495,0.050505050505050504,0.9625850340136054,492,198,294,1.349862258953168,0.9864011136095943,1.2904040404040409,0.0645202020202021,below supporting,below supporting,interpolated to the nominal specificity
y_assay/BRCA1_included,gnomad_af,0.975,0.9716845878136201,0.020202020202020204,0.9829931972789115,492,198,294,1.187878787878788,0.9967495019398134,1.1245791245791228,0.028114478114478092,below supporting,below supporting,interpolated to the nominal specificity
y_assay/BRCA1_included,gnomad_af,0.99,0.9784946236559141,0.005050505050505051,0.9931972789115646,492,198,294,0.7424242424242425,1.0017642175176422,0.9797979797979814,0.009797979797979823,below supporting,below supporting,interpolated to the nominal specificity
y_assay/BRCA1_included,phylop,0.9,0.5919762476403424,0.761266747868453,0.9028103044496487,1675,821,854,7.832792803369385,0.2644334595594567,7.612667478684533,0.7612667478684532,Moderate,Moderate,interpolated to the nominal specificity
y_assay/BRCA1_included,phylop,0.95,0.6610340340523798,0.6686967113276492,0.9508196721311475,1675,821,854,13.596833130328868,0.34843966567264484,13.459196102314245,0.6729598051157129,Moderate,Moderate,interpolated to the nominal specificity
y_assay/BRCA1_included,phylop,0.975,0.7564466763191173,0.49086479902557856,0.9754098360655737,1675,821,854,19.96183516037353,0.5219705421754572,19.66869671132763,0.4917174177831912,Strong,Strong,interpolated to the nominal specificity
y_assay/BRCA1_included,phylop,0.99,0.937903960580789,0.12302070645554203,0.990632318501171,1675,821,854,13.132460414129111,0.8852722419467697,12.367844092570023,0.12367844092570034,Moderate,Moderate,interpolated to the nominal specificity
y_assay/BRCA1_included,phastcons,0.9,0.9322580260506306,0.5907429963459196,0.905152224824356,1675,821,854,6.2283273935730294,0.4521416314625933,6.059964396139794,0.6059964396139792,Moderate,Moderate,interpolated to the nominal specificity
y_assay/BRCA1_included,phastcons,0.95,0.9885490297422471,0.1315468940316687,0.9800936768149883,1675,821,854,6.608296911943827,0.8860919384670908,5.327836597020521,0.2663918298510263,Moderate,Moderate,interpolated to the nominal specificity
y_assay/BRCA1_included,phastcons,0.975,0.9885490297422471,0.1315468940316687,0.9800936768149883,1675,821,854,6.608296911943827,0.8860919384670908,6.174833692495079,0.1543708423123771,Moderate,Moderate,interpolated to the nominal specificity
