condition,calibration,object,n,n_pos,n_neg,threshold_at_spec95,sensitivity_at_that_point,specificity_achieved,lr_plus,lr_plus_lo,lr_plus_hi,n_boot_evaluable,lr_plus_interp,sensitivity_interp,lr_plus_interp_lo,lr_plus_interp_hi,n_boot_evaluable_interp,lr_minus_at_spec95,lr_minus_at_sens95,threshold_at_sens95,acmg_tier_observed,acmg_tier,tier_basis,benign_tier_at_sens95,cal_method
y_assay/BRCA1_excluded,raw,single:gnomad_af,407,162,245,0.9600220567962504,0.07407407407407407,0.9510204081632653,1.5123456790123457,0.7897435897435897,2.6989374262101538,1969,1.5123456790123453,0.07561728395061733,0.867986798679868,3.8114035087719267,2000,0.9736130980766174,0.39028275587415384,0.09008363201911586,below supporting,below supporting,interpolated to the nominal specificity,Supporting,isotonic
y_assay/BRCA1_excluded,calibrated_isotonic,single:gnomad_af,407,162,245,0.6046511627906976,0.05555555555555555,0.9551020408163265,1.2373737373737375,0.863681592039801,2.4212030846902803,1715,1.213991769547325,0.060699588477366305,0.8522727272727278,2.8796296296296338,2000,0.9888414055080721,0.6481481481481489,0.23076923076923078,below supporting,below supporting,interpolated to the nominal specificity,below supporting,isotonic
y_assay/BRCA1_excluded,raw,single:phylop,1168,594,574,0.6610340340523798,0.6599326599326599,0.9512195121951219,13.528619528619528,12.902374031007753,16.673139920725824,2000,13.22222222222221,0.6611111111111111,12.594670406732106,15.123862756484684,2000,0.3575066908400242,0.10456555605809348,0.2602496197056613,Moderate,Moderate,interpolated to the nominal specificity,Moderate,isotonic
y_assay/BRCA1_excluded,calibrated_isotonic,single:phylop,1168,594,574,0.8181818181818182,0.6178451178451179,0.9547038327526133,13.64011914011914,12.186081836510263,18.230672926447575,2000,12.402356902356892,0.6201178451178452,11.899761210943813,14.475343001841608,2000,0.4002863181695298,0.12584762352204212,0.12121212121212122,Moderate,Moderate,interpolated to the nominal specificity,Moderate,isotonic
y_assay/BRCA1_excluded,raw,single:phastcons,1168,594,574,0.9885490297422471,0.18181818181818182,0.9703832752613241,6.139037433155081,4.58492975734355,44.21011673151751,1563,6.969696969696969,0.34848484848484873,4.825870646766169,9.794426417255195,2000,0.8431532560796474,0.1105546995377503,0.22907028185081107,Moderate,Moderate,interpolated to the nominal specificity,Moderate,isotonic
y_assay/BRCA1_excluded,calibrated_isotonic,single:phastcons,1168,594,574,1.0,0.14309764309764308,0.9703832752613241,4.831649831649831,4.472843450479233,41.261802575107296,1432,6.195286195286195,0.30976430976431,3.282892021022457,8.911229946524065,2000,0.883055570667779,0.15909090909090895,0.12686567164179105,Moderate,Moderate,interpolated to the nominal specificity,Moderate,isotonic
y_clinvar/BRCA1_included,raw,fusion_M1,946,555,391,0.45410018460427204,0.9981981981981982,0.9514066496163683,20.54186818397345,19.989256198347107,23.68816964285714,2000,19.96396396396395,0.9981981981981982,19.90195274831242,19.999999999999982,2000,0.0018938293131841324,0.048648648648648596,0.6240914938868625,Strong,Strong,interpolated to the nominal specificity,Strong,isotonic
y_clinvar/BRCA1_included,calibrated_isotonic,fusion_M1,946,555,391,0.14624191958941968,0.9927927927927928,0.9641943734015346,27.727284427284427,20.045414468438818,81.03340773809505,2000,19.855855855855836,0.9927927927927928,19.640933572710935,19.999999999999982,2000,0.007474848854159237,0.025289905289905254,1.0,Strong,Strong,interpolated to the nominal specificity,Strong,isotonic
y_clinvar/BRCA1_included,raw,mean_M0b,946,555,391,0.4658311498258862,0.9963963963963964,0.9514066496163683,20.504788999525843,19.96393908649001,23.583193584070795,2000,19.92792792792791,0.9963963963963964,19.781659388646272,19.999999999999982,2000,0.0037876586263682647,0.04889877023553111,0.5854282028375082,Strong,Strong,interpolated to the nominal specificity,Strong,isotonic
y_clinvar/BRCA1_included,calibrated_isotonic,mean_M0b,946,555,391,0.2857142857142857,0.990990990990991,0.9667519181585678,29.8059598059598,20.01865580943121,39.19595959595959,2000,19.853539253539235,0.9926769626769626,19.653599802371527,19.999999999999982,2000,0.009318842652176005,0.04889877023553111,0.9047619047619048,Strong,Strong,interpolated to the nominal specificity,Strong,isotonic
