set,scheme,model,Brier,ECE,actionable_frac,actionable_acc
y_assay/BRCA1_included,decile_truncated,single:nt,0.19701691686571235,0.05225896976702848,0.08586597353442747,0.7831620660373647
y_assay/BRCA1_included,decile_truncated,single:cadd,0.11363179392036937,0.04526841824509723,0.5088946000620751,0.9328031173746013
y_assay/BRCA1_included,decile_truncated,single:alphamissense,,,,
y_assay/BRCA1_included,decile_truncated,single:gnomad_af,0.2355277187474123,0.0637653213578775,0.018228976683002454,0.6674912693355576
y_assay/BRCA1_included,decile_truncated,single:phylop,0.1301771230214217,0.0339851014107395,0.4364903155919498,0.9303037164248905
y_assay/BRCA1_included,decile_truncated,single:phastcons,0.1499464468156941,0.061142718714355886,0.22138001779288735,0.8673064669289865
y_assay/BRCA1_excluded,unweighted,fusion_M1,0.06776436965137853,0.03093261177611171,0.7549271636675235,0.9625425652667423
y_assay/BRCA1_excluded,unweighted,mean_M0b,0.08093008326755415,0.025025717187775413,0.7240788346186804,0.9609467455621302
y_assay/BRCA1_excluded,unweighted,single:spliceai,0.09011197393199322,0.0601206259421041,0.700942587832048,0.9266503667481663
y_assay/BRCA1_excluded,unweighted,single:pangolin,0.07950655004782067,0.02645780124344011,0.713796058269066,0.9615846338535414
y_assay/BRCA1_excluded,unweighted,single:alphagenome,0.08673591855618897,0.037360435337699,0.7043701799485861,0.9610705596107056
y_assay/BRCA1_excluded,unweighted,single:gpn_msa,0.12052937017976831,0.0402851740584691,0.4892887746358183,0.9422066549912435
y_assay/BRCA1_excluded,unweighted,single:nt,0.1774465733321266,0.053072731692543534,0.20222793487574978,0.9364406779661016
y_assay/BRCA1_excluded,unweighted,single:cadd,0.10417817784780867,0.029329935330842518,0.6713221601489758,0.9375866851595007
y_assay/BRCA1_excluded,unweighted,single:alphamissense,,,,
y_assay/BRCA1_excluded,unweighted,single:gnomad_af,0.24440952807793695,0.08203100026622531,0.019656019656019656,0.625
y_assay/BRCA1_excluded,unweighted,single:phylop,0.12940848149937878,0.036336942718981614,0.42759211653813195,0.9298597194388778
y_assay/BRCA1_excluded,unweighted,single:phastcons,0.1491670443549131,0.06769496025903,0.17737789203084833,0.821256038647343
y_assay/BRCA1_excluded,quintile,fusion_M1,0.07214728432604699,0.03163367103326498,0.7458708790447182,0.9580907253649749
y_assay/BRCA1_excluded,quintile,mean_M0b,0.0854215247412415,0.026764492077040174,0.7176007033091696,0.9566897270499353
