condition,calibration,object,n,n_pos,n_neg,lr_plus_obs_v1,spec_achieved_v1,lr_plus_interp_v1,tier_obs_v1,tier_interp_v1,lr_plus_obs_v2,spec_achieved_v2,lr_plus_interp_v2,tier_obs_v2,tier_interp_v2,delta_obs,delta_interp_score_change,delta_placement,placement_within_v1,placement_within_v2,threshold_v1,threshold_v2,tie_chosen_all_v1,tie_chosen_neg_v1,tie_chosen_pos_v1,spec_chosen_v1,tie_below_all_v1,tie_below_neg_v1,tie_below_pos_v1,spec_below_v1,tie_chosen_all_v2,tie_chosen_neg_v2,tie_chosen_pos_v2,spec_chosen_v2,tie_below_all_v2,tie_below_neg_v2,tie_below_pos_v2,spec_below_v2
y_assay/BRCA1_excluded,calibrated_isotonic,single:gnomad_af,407,162,245,1.2373737373737375,0.9551020408163265,1.213991769547325,below supporting,below supporting,1.2373737373737375,0.9551020408163265,1.213991769547325,below supporting,below supporting,0.0,0.0,0.0,0.023381967826412442,0.023381967826412442,0.6046511627906976,0.6046511627906976,11.0,6.0,5.0,0.9551020408163265,5.0,3.0,2.0,0.9428571428571428,11.0,6.0,5.0,0.9551020408163265,5.0,3.0,2.0,0.9428571428571428
y_assay/BRCA1_excluded,raw,single:phylop,1168,594,574,13.528619528619528,0.9512195121951219,13.22222222222221,Moderate,Moderate,13.528619528619528,0.9512195121951219,13.22222222222221,Moderate,Moderate,0.0,0.0,0.0,0.3063973063973169,0.3063973063973169,0.6610340340523798,0.6610340340523798,2.0,2.0,0.0,0.9512195121951219,2.0,1.0,1.0,0.9494773519163763,2.0,2.0,0.0,0.9512195121951219,2.0,1.0,1.0,0.9494773519163763
y_assay/BRCA1_excluded,calibrated_isotonic,single:phylop,1168,594,574,13.64011914011914,0.9547038327526133,12.402356902356892,Moderate,Moderate,13.64011914011914,0.9547038327526133,12.402356902356892,Moderate,Moderate,0.0,0.0,0.0,1.2377622377622473,1.2377622377622473,0.8181818181818182,0.8181818181818182,3.0,0.0,3.0,0.9547038327526133,6.0,4.0,2.0,0.9477351916376306,3.0,0.0,3.0,0.9547038327526133,6.0,4.0,2.0,0.9477351916376306
y_assay/BRCA1_excluded,raw,single:phastcons,1168,594,574,6.139037433155081,0.9703832752613241,6.969696969696969,Moderate,Moderate,6.139037433155081,0.9703832752613241,6.969696969696969,Moderate,Moderate,0.0,0.0,0.0,-0.8306595365418881,-0.8306595365418881,0.9885490297422471,0.9885490297422471,23.0,0.0,23.0,0.9703832752613241,123.0,13.0,110.0,0.9477351916376306,23.0,0.0,23.0,0.9703832752613241,123.0,13.0,110.0,0.9477351916376306
y_assay/BRCA1_excluded,calibrated_isotonic,single:phastcons,1168,594,574,4.831649831649831,0.9703832752613241,6.195286195286195,Moderate,Moderate,4.831649831649831,0.9703832752613241,6.195286195286195,Moderate,Moderate,0.0,0.0,0.0,-1.3636363636363633,-1.3636363636363633,1.0,1.0,102.0,17.0,85.0,0.9703832752613241,123.0,13.0,110.0,0.9477351916376306,102.0,17.0,85.0,0.9703832752613241,123.0,13.0,110.0,0.9477351916376306
y_clinvar/BRCA1_included,raw,fusion_M1,946,555,391,20.54186818397345,0.9514066496163683,19.96396396396395,Strong,Strong,20.54186818397345,0.9514066496163683,19.96396396396395,Strong,Strong,0.0,0.0,0.0,0.5779042200095006,0.5779042200095006,0.43634340455277004,0.45410018460427204,1.0,1.0,0.0,0.9514066496163683,1.0,1.0,0.0,0.948849104859335,1.0,1.0,0.0,0.9514066496163683,1.0,1.0,0.0,0.948849104859335
y_clinvar/BRCA1_included,calibrated_isotonic,fusion_M1,946,555,391,25.878798798798798,0.9616368286445013,19.855855855855836,Strong,Strong,27.727284427284427,0.9641943734015346,19.855855855855836,Strong,Strong,1.84848562848563,0.0,1.84848562848563,6.0229429429429615,7.871428571428591,0.03652254781736357,0.14624191958941968,1.0,1.0,0.0,0.9616368286445013,12.0,12.0,0.0,0.9309462915601023,1.0,0.0,1.0,0.9641943734015346,14.0,14.0,0.0,0.928388746803069
y_clinvar/BRCA1_included,raw,mean_M0b,946,555,391,20.504788999525843,0.9514066496163683,19.92792792792791,Strong,Strong,20.504788999525843,0.9514066496163683,19.92792792792791,Strong,Strong,0.0,0.0,0.0,0.5768610715979321,0.5768610715979321,0.4633931138608915,0.4658311498258862,1.0,1.0,0.0,0.9514066496163683,1.0,1.0,0.0,0.948849104859335,1.0,1.0,0.0,0.9514066496163683,1.0,1.0,0.0,0.948849104859335
y_clinvar/BRCA1_included,calibrated_isotonic,mean_M0b,946,555,391,21.565665665665666,0.9539641943734015,19.855855855855836,Strong,Strong,29.8059598059598,0.9667519181585678,19.853539253539235,Strong,Strong,8.240294140294136,-0.00231660231660058,8.242610742610736,1.7098098098098298,9.952420552420566,0.1579250584337217,0.2857142857142857,1.0,1.0,0.0,0.9539641943734015,4.0,4.0,0.0,0.9437340153452686,1.0,0.0,1.0,0.9667519181585678,8.0,7.0,1.0,0.948849104859335
y_clinvar/BRCA1_included,raw,single:spliceai,946,555,391,20.09691797060218,0.9514066496163683,19.531531531531513,Strong,Strong,20.09691797060218,0.9514066496163683,19.531531531531513,Strong,Strong,0.0,0.0,0.0,0.565386439070668,0.565386439070668,0.5054226336520601,0.516453437073875,1.0,0.0,1.0,0.9514066496163683,1.0,1.0,0.0,0.948849104859335,1.0,1.0,0.0,0.9514066496163683,1.0,1.0,0.0,0.948849104859335
y_clinvar/BRCA1_included,calibrated_isotonic,single:spliceai,946,555,391,19.726126126126125,0.9514066496163683,19.171171171171153,Strong,Strong,20.704604604604604,0.9539641943734015,19.063063063063048,Strong,Strong,0.978478478478479,-0.10810810810810523,1.0865865865865842,0.5549549549549724,1.6415415415415566,0.5,0.5677510128508323,3.0,1.0,2.0,0.9514066496163683,1.0,1.0,0.0,0.948849104859335,1.0,1.0,0.0,0.9539641943734015,2.0,2.0,0.0,0.948849104859335
