tool,stratum,arm,auroc,auroc_lo,auroc_hi,prauc,n_pos,n_neg,k_genes,max_tier_in_sample,max_tier_logo
gpn_msa,s3_10,classified,0.8719237911253637,0.7983671608765627,0.9212920510379368,0.7060351668590774,93.0,457.0,5,moderate,moderate
gpn_msa,s3_10,recorded_unclassified,0.7708125926747006,0.7210750149422954,0.8139691830778583,0.5481754401537097,196.0,585.0,6,moderate,moderate
gpn_msa,s3_10,unrecorded,0.7662901406092167,0.728819176068531,0.8000042739399158,0.5233185753061036,269.0,1303.0,5,moderate,moderate
gpn_msa,s11_50,all,0.6447115907742174,0.5213202591637385,0.7514598915644279,0.13142868464767,222.0,3970.0,5,supporting,supporting
gpn_msa,s11_50,unrecorded,0.6627545815705319,0.5088086594884531,0.7885070049285845,0.1331473765701627,165.0,3267.0,4,supporting,supporting
gpn_msa,s3_50,all,0.7958055084823996,0.7562817496085905,0.8303574417864051,0.4108877894084922,795.0,6817.0,7,moderate,moderate
gpn_msa,s3_50,classified,0.8143598353109651,0.6681491284920805,0.9052833804641698,0.4694917207708766,119.0,997.0,5,moderate,moderate
gpn_msa,s3_50,recorded_unclassified,0.7627259778040301,0.6854054552156965,0.8258707391786584,0.5277825634903438,215.0,877.0,6,moderate,moderate
gpn_msa,s3_50,unrecorded,0.7649834422829913,0.7370055548327108,0.790829704276152,0.3862084538752542,448.0,4647.0,6,moderate,moderate
nt,s3_10,all,0.6910905468676577,0.6331102664873919,0.7436185918694322,0.3381413360570158,570.0,2505.0,7,supporting,supporting
nt,s3_10,classified,0.6526303614630771,0.5478183151710408,0.7444796136656949,0.3873631044093505,93.0,457.0,5,supporting,supporting
nt,s3_10,recorded_unclassified,0.6945056868814026,0.6063484601269793,0.7703961867496887,0.4811513487841349,196.0,585.0,6,supporting,supporting
nt,s3_10,unrecorded,0.694163055981064,0.6468453973650405,0.7377115784593937,0.3441985133445886,269.0,1303.0,5,supporting,supporting
nt,s11_50,all,0.7040976220416173,0.6247839020229106,0.7727440779531939,0.1432002300088825,222.0,3970.0,5,none,none
nt,s11_50,unrecorded,0.7165486718328543,0.615418371193533,0.7997392143508751,0.0980765644675379,165.0,3267.0,4,none,none
nt,s3_50,all,0.6892612515861267,0.6304043863751297,0.7425727480821404,0.3334954543731543,795.0,6817.0,7,none,none
nt,s3_50,classified,0.625053646349297,0.498853880392293,0.7362743655538767,0.259135962896326,119.0,997.0,5,none,none
nt,s3_50,recorded_unclassified,0.682376191011282,0.6024909971009806,0.7527943845272093,0.4617691973875518,215.0,877.0,6,none,none
nt,s3_50,unrecorded,0.7046004254966066,0.6520302382640067,0.7522462695604148,0.2888458217411465,448.0,4647.0,6,none,none
spliceai_walker,s3_10,all,0.9084874629305828,0.8668891577892498,0.9380154508458848,0.8046665451741151,570.0,2505.0,7,strong,strong
spliceai_walker,s3_10,classified,0.8882500657120889,0.7984526563901471,0.9409956841160936,0.8081245895487381,93.0,457.0,5,strong,strong
spliceai_walker,s3_10,recorded_unclassified,0.8972395100037048,0.8438310111090375,0.9338153543789046,0.8203573992901838,196.0,585.0,6,strong,strong
