Tool,"Stratum (intronic offset, bp)",Tier,Tier LR cut,Reached in-sample,In-sample threshold (gene-clustered bootstrap),In-sample threshold (variant-level bootstrap),Held-out genes,Folds with a fitted threshold,Folds with an evaluable held-out LR,Held-out genes clearing the cut,"Held-out LR, median","Held-out LR, minimum","Held-out LR, maximum",Held-out LR per fold
"SpliceAI (±4,999 nt, Walker basis)",3–50,Strong,18.7,Yes,0.8773,0.82697,7,7,6,5,45.6,15.2,284,BAP1=15.2; BARD1=284; BRCA1=57.8; BRCA2=33.3; PALB2=27.8; RAD51C=214; VHL=n.e.
AlphaGenome Atlas AVI,3–10,Supporting,2.08,Yes,0.8246,0.8126,7,7,6,6,11.4,9.60,33.4,BAP1=9.60; BARD1=11.0; BRCA1=33.4; BRCA2=31.9; PALB2=11.6; RAD51C=11.2; VHL=n.e.
AlphaGenome Atlas AVI,3–10,Moderate,4.33,Yes,1.071034,1.071034,7,7,6,6,35.2,11.1,54.6,BAP1=11.1; BARD1=25.8; BRCA1=44.5; BRCA2=46.7; PALB2=54.6; RAD51C=18.5; VHL=n.e.
AlphaGenome Atlas AVI,3–10,Strong,18.7,Yes,1.36455,1.2806,7,7,5,5,67.2,24.3,149,BAP1=24.3; BARD1=149; BRCA1=130; BRCA2=n.e.; PALB2=67.2; RAD51C=28.4; VHL=n.e.
AlphaGenome Atlas AVI,11–50,Supporting,2.08,Yes,0.5888686776,0.57095,6,6,4,4,8.39,7.48,51.3,BAP1=7.84; BARD1=51.3; BRCA1=n.e.; PALB2=7.48; RAD51C=8.93; VHL=n.e.
AlphaGenome Atlas AVI,11–50,Moderate,4.33,Yes,0.69857,0.69857,6,6,4,4,36.1,9.98,60.7,BAP1=13.3; BARD1=58.9; BRCA1=n.e.; PALB2=9.98; RAD51C=60.7; VHL=n.e.
AlphaGenome Atlas AVI,11–50,Strong,18.7,Yes,1.127,1.127,6,2,0,0,,,,BAP1=no threshold; BARD1=no threshold; BRCA1=n.e.; PALB2=n.e.; RAD51C=no threshold; VHL=no threshold
AlphaGenome Atlas AVI,3–50,Supporting,2.08,Yes,0.7119,0.72116,7,7,7,7,23.4,11.6,42.4,BAP1=11.6; BARD1=26.2; BRCA1=23.4; BRCA2=25.0; PALB2=15.2; RAD51C=14.9; VHL=42.4
AlphaGenome Atlas AVI,3–50,Moderate,4.33,Yes,0.8246,0.8280,7,7,7,7,31.9,17.2,63.7,BAP1=17.2; BARD1=38.8; BRCA1=42.9; BRCA2=31.9; PALB2=18.2; RAD51C=28.3; VHL=63.7
AlphaGenome Atlas AVI,3–50,Strong,18.7,Yes,1.171,1.171,7,7,7,7,69.9,36.7,305,BAP1=36.7; BARD1=305; BRCA1=218; BRCA2=46.7; PALB2=273; RAD51C=69.9; VHL=53.5
AlphaGenome Atlas splice sites,3–10,Supporting,2.08,Yes,0.327255,0.321289,7,7,7,7,16.2,9.00,37.6,BAP1=10.4; BARD1=16.2; BRCA1=37.6; BRCA2=19.2; PALB2=16.8; RAD51C=12.7; VHL=9.00
AlphaGenome Atlas splice sites,3–10,Moderate,4.33,Yes,0.4648,0.4726,7,7,6,6,22.7,11.0,48.9,BAP1=11.0; BARD1=25.2; BRCA1=48.9; BRCA2=30.7; PALB2=20.3; RAD51C=15.2; VHL=n.e.
AlphaGenome Atlas splice sites,3–10,Strong,18.7,No,,0.8193,7,1,1,0,12.1,12.1,12.1,BAP1=12.1; BARD1=no threshold; BRCA1=no threshold; BRCA2=no threshold; PALB2=no threshold; RAD51C=no threshold; VHL=no threshold
AlphaGenome Atlas splice sites,11–50,Supporting,2.08,Yes,0.26948,0.2434,6,6,4,4,14.3,4.77,84.2,BAP1=5.87; BARD1=84.2; BRCA1=n.e.; PALB2=n.e.; RAD51C=22.8; VHL=4.77
AlphaGenome Atlas splice sites,11–50,Moderate,4.33,Yes,0.4608755,0.3945,6,6,3,3,20.3,7.55,292,BAP1=7.55; BARD1=292; BRCA1=n.e.; PALB2=n.e.; RAD51C=20.3; VHL=n.e.
