Genes,"Stratum (intronic offset, bp)",ClinVar record status,Tool,Fitted threshold tier,Fitted threshold,Genes contributing,Damaging,Normal,Variants in band,Sensitivity,Specificity,Band LR at fitted threshold,Band LR at published cut point (≥ 0.2),AUROC (95% CI),Genes pooled for AUROC
All genes,3–50,Not in ClinVar,CADD,Moderate,22.60,6,448,4647,94,0.107,0.990,10.8,,0.751 (0.679–0.811),6
All genes,3–50,Not in ClinVar,phyloP-100way,Moderate,5.5818,6,448,4647,29,0.040,0.998,17.0,,0.731 (0.687–0.771),6
All genes,3–50,Not in ClinVar,phastCons-100way,Supporting (Moderate not reached),0.9921,6,448,4647,588,0.353,0.907,3.81,,0.719 (0.672–0.762),6
All genes,3–50,Not in ClinVar,GPN-MSA,Moderate,8.240,6,448,4647,159,0.188,0.984,11.6,,0.765 (0.737–0.791),6
All genes,3–50,Not in ClinVar,NT-v2-500M,none reached in-sample,,,,,,,,,,0.705 (0.652–0.752),6
All genes,3–50,Not in ClinVar,"SpliceAI (±4,999 nt, Walker basis)",Moderate,0.4263,6,448,4647,329,0.467,0.974,18.1,7.95,0.898 (0.818–0.945),6
All genes,3–50,Not in ClinVar,AlphaGenome Atlas AVI,Moderate,0.8246,6,448,4647,309,0.471,0.979,22.3,,0.883 (0.819–0.926),6
All genes,3–50,Not in ClinVar,AlphaGenome Atlas splice sites,Moderate,0.4295,6,448,4647,257,0.391,0.982,22.1,,0.869 (0.790–0.921),6
All genes,3–50,Not in ClinVar,AlphaGenome Atlas splice site usage,Moderate,0.484375,6,448,4647,282,0.449,0.983,25.7,,0.899 (0.829–0.942),6
All genes,3–50,Not in ClinVar,AlphaGenome Atlas splice junctions,Moderate,3.857,6,448,4647,262,0.402,0.982,22.8,,0.894 (0.810–0.943),6
All genes,"1–50 incl. ±1,2, out of scope",Classified (P/LP or B/LB),SpliceAI (±50 nt),,,,,,,,,,,0.964 (0.933–0.981),7
All genes,"1–50 incl. ±1,2, out of scope",Classified (P/LP or B/LB),Pangolin,,,,,,,,,,,0.964 (0.933–0.981),7
All genes,"1–50 incl. ±1,2, out of scope",Classified (P/LP or B/LB),AlphaGenome,,,,,,,,,,,0.964 (0.928–0.982),7
All genes,"1–50 incl. ±1,2, out of scope",Classified (P/LP or B/LB),CADD,,,,,,,,,,,0.942 (0.893–0.969),7
All genes,"1–50 incl. ±1,2, out of scope",Classified (P/LP or B/LB),phyloP-100way,,,,,,,,,,,0.939 (0.905–0.961),7
All genes,"1–50 incl. ±1,2, out of scope",Classified (P/LP or B/LB),phastCons-100way,,,,,,,,,,,0.929 (0.886–0.957),7
All genes,"1–50 incl. ±1,2, out of scope",Classified (P/LP or B/LB),GPN-MSA,,,,,,,,,,,0.947 (0.914–0.967),7
All genes,"1–50 incl. ±1,2, out of scope",Classified (P/LP or B/LB),NT-v2-500M,,,,,,,,,,,0.819 (0.756–0.868),7
All genes,"1–50 incl. ±1,2, out of scope",Classified (P/LP or B/LB),"SpliceAI (±4,999 nt, Walker basis)",,,,,,,,,,,0.968 (0.936–0.984),7
All genes,"1–50 incl. ±1,2, out of scope",Classified (P/LP or B/LB),AlphaGenome Atlas AVI,,,,,,,,,,,0.966 (0.928–0.984),7
All genes,"1–50 incl. ±1,2, out of scope",Classified (P/LP or B/LB),AlphaGenome Atlas splice sites,,,,,,,,,,,0.958 (0.924–0.978),7
All genes,"1–50 incl. ±1,2, out of scope",Classified (P/LP or B/LB),AlphaGenome Atlas splice site usage,,,,,,,,,,,0.966 (0.921–0.986),7
All genes,"1–50 incl. ±1,2, out of scope",Classified (P/LP or B/LB),AlphaGenome Atlas splice junctions,,,,,,,,,,,0.967 (0.933–0.984),7
All genes,"1–50 incl. ±1,2, out of scope","Recorded, not classified",SpliceAI (±50 nt),,,,,,,,,,,0.913 (0.849–0.952),6
