Tool,"Stratum (intronic offset, bp)",Tier,Training genes,Subsets,Subsets reaching the tier,"Threshold, median","Threshold, interquartile range",Threshold on all genes in the stratum,Held-out pairs evaluable,Held-out pairs clearing the cut,"Held-out LR, median","Held-out LR, interquartile range"
"SpliceAI (±4,999 nt, Walker basis)",11–50,Strong,2,15,1 (7%),0.6346,0.6346 to 0.6346,,1 of 60,0 (0%),9.61,9.61 to 9.61
"SpliceAI (±4,999 nt, Walker basis)",11–50,Strong,3,20,2 (10%),0.6346,0.6346 to 0.6346,,2 of 60,0 (0%),9.61,9.61 to 9.61
"SpliceAI (±4,999 nt, Walker basis)",11–50,Strong,4,15,2 (13%),0.6346,0.6346 to 0.6346,,2 of 30,0 (0%),9.61,9.61 to 9.61
"SpliceAI (±4,999 nt, Walker basis)",11–50,Strong,5,6,1 (17%),0.6346,0.6346 to 0.6346,,1 of 6,0 (0%),9.61,9.61 to 9.61
"SpliceAI (±4,999 nt, Walker basis)",3–50,Moderate,2,21,21 (100%),0.4540,0.4313855 to 0.480255,0.4263,105 of 105,105 (100%),24.8,17.9 to 39.9
"SpliceAI (±4,999 nt, Walker basis)",3–50,Moderate,3,35,35 (100%),0.427076786757,0.4084 to 0.45275,0.4263,140 of 140,140 (100%),24.8,17.9 to 33.7
"SpliceAI (±4,999 nt, Walker basis)",3–50,Moderate,4,35,35 (100%),0.4292,0.4151 to 0.4594,0.4263,105 of 105,105 (100%),24.8,17.9 to 33.4
"SpliceAI (±4,999 nt, Walker basis)",3–50,Moderate,5,21,21 (100%),0.42278,0.416176 to 0.437278,0.4263,42 of 42,42 (100%),24.8,17.9 to 33.4
"SpliceAI (±4,999 nt, Walker basis)",3–50,Moderate,6,7,7 (100%),0.42775,0.4253 to 0.4328,0.4263,7 of 7,7 (100%),25.9,21.3 to 30.0
"SpliceAI (±4,999 nt, Walker basis)",3–50,Strong,2,21,14 (67%),0.7124,0.6919 to 0.7388,0.8773,62 of 105,48 (77%),36.1,25.3 to 73.5
"SpliceAI (±4,999 nt, Walker basis)",3–50,Strong,3,35,26 (74%),0.7649,0.7225 to 0.8156,0.8773,88 of 140,68 (77%),36.7,24.4 to 81.6
"SpliceAI (±4,999 nt, Walker basis)",3–50,Strong,4,35,32 (91%),0.9081,0.8020 to 0.9185,0.8773,81 of 105,66 (81%),40.8,24.4 to 114
"SpliceAI (±4,999 nt, Walker basis)",3–50,Strong,5,21,21 (100%),0.89787,0.8054568 to 0.906985,0.8773,36 of 42,30 (83%),57.8,26.7 to 189
"SpliceAI (±4,999 nt, Walker basis)",3–50,Strong,6,7,7 (100%),0.8931,0.8605 to 0.8958,0.8773,6 of 7,5 (83%),45.6,29.2 to 175
AlphaGenome Atlas AVI,3–10,Moderate,2,21,21 (100%),0.995376,0.9180 to 1.037777,1.071034,90 of 105,90 (100%),20.5,13.4 to 38.2
AlphaGenome Atlas AVI,3–10,Moderate,3,35,35 (100%),1.000,0.9666 to 1.023,1.071034,120 of 140,120 (100%),21.5,14.4 to 34.5
AlphaGenome Atlas AVI,3–10,Moderate,4,35,35 (100%),1.03095,0.9934 to 1.0498,1.071034,90 of 105,90 (100%),24.8,17.7 to 38.7
AlphaGenome Atlas AVI,3–10,Moderate,5,21,21 (100%),1.0568,1.0318 to 1.066,1.071034,36 of 42,36 (100%),29.9,18.4 to 44.5
AlphaGenome Atlas AVI,3–10,Moderate,6,7,7 (100%),1.0689,1.057 to 1.072,1.071034,6 of 7,6 (100%),35.2,20.3 to 46.1
AlphaGenome Atlas AVI,3–10,Strong,2,21,12 (57%),1.394,1.305 to 1.457,1.36455,42 of 105,42 (100%),57.9,37.2 to 124
AlphaGenome Atlas AVI,3–10,Strong,3,35,33 (94%),1.3406,1.2965 to 1.4005,1.36455,99 of 140,99 (100%),67.2,33.7 to 129
AlphaGenome Atlas AVI,3–10,Strong,4,35,35 (100%),1.3239,1.291 to 1.377,1.36455,80 of 105,80 (100%),71.0,29.8 to 143
AlphaGenome Atlas AVI,3–10,Strong,5,21,21 (100%),1.296,1.260 to 1.4159,1.36455,32 of 42,32 (100%),72.6,26.5 to 150
AlphaGenome Atlas AVI,3–10,Strong,6,7,7 (100%),1.36798,1.296 to 1.407,1.36455,5 of 7,5 (100%),67.2,28.4 to 130
AlphaGenome Atlas AVI,11–50,Moderate,2,15,12 (80%),0.72148,0.6649 to 0.7562,0.69857,26 of 60,26 (100%),30.8,13.3 to 56.8
AlphaGenome Atlas AVI,11–50,Moderate,3,20,20 (100%),0.68428,0.6516 to 0.6979,0.69857,39 of 60,39 (100%),23.6,12.0 to 55.1
AlphaGenome Atlas AVI,11–50,Moderate,4,15,15 (100%),0.6704,0.6628 to 0.7248,0.69857,20 of 30,20 (100%),19.6,11.1 to 56.5
AlphaGenome Atlas AVI,11–50,Moderate,5,6,6 (100%),0.6914,0.6739 to 0.7256,0.69857,4 of 6,4 (100%),36.1,12.4 to 59.4
AlphaGenome Atlas AVI,11–50,Strong,2,15,0 (0%),,,1.127,0 of 60,,,
AlphaGenome Atlas AVI,11–50,Strong,3,20,0 (0%),,,1.127,0 of 60,,,
AlphaGenome Atlas AVI,11–50,Strong,4,15,0 (0%),,,1.127,0 of 30,,,
AlphaGenome Atlas AVI,11–50,Strong,5,6,2 (33%),1.192,1.171 to 1.213,1.127,0 of 6,,,
AlphaGenome Atlas AVI,3–50,Moderate,2,21,21 (100%),0.82045,0.7822 to 0.8468,0.8246,105 of 105,105 (100%),28.7,19.1 to 41.3
AlphaGenome Atlas AVI,3–50,Moderate,3,35,35 (100%),0.8126,0.7916 to 0.8345,0.8246,140 of 140,140 (100%),28.8,18.4 to 37.2
AlphaGenome Atlas AVI,3–50,Moderate,4,35,35 (100%),0.8468,0.8045 to 0.8729,0.8246,105 of 105,105 (100%),32.5,18.9 to 44.4
AlphaGenome Atlas AVI,3–50,Moderate,5,21,21 (100%),0.85465,0.81766 to 0.87179,0.8246,42 of 42,42 (100%),31.9,18.5 to 42.9
AlphaGenome Atlas AVI,3–50,Moderate,6,7,7 (100%),0.8457,0.8233 to 0.8504,0.8246,7 of 7,7 (100%),31.9,23.2 to 40.9
AlphaGenome Atlas AVI,3–50,Strong,2,21,19 (90%),1.1788,1.128 to 1.270,1.171,89 of 105,89 (100%),69.1,48.9 to 258
AlphaGenome Atlas AVI,3–50,Strong,3,35,35 (100%),1.148,1.127 to 1.227,1.171,140 of 140,140 (100%),65.3,48.9 to 258
AlphaGenome Atlas AVI,3–50,Strong,4,35,35 (100%),1.188,1.131 to 1.210,1.171,105 of 105,105 (100%),75.7,53.3 to 260
AlphaGenome Atlas AVI,3–50,Strong,5,21,21 (100%),1.186,1.1427 to 1.1991,1.171,42 of 42,42 (100%),79.0,50.0 to 267
AlphaGenome Atlas AVI,3–50,Strong,6,7,7 (100%),1.1815,1.175 to 1.1815,1.171,7 of 7,7 (100%),69.9,50.1 to 245
