Gene,Label definition,"Stratum (intronic offset, bp)",Tool,Damaging,Normal,Evaluated,Same variable as the fitted column,Why not comparable,LR at published cut point (≥ 0.2),Tier at published cut point,Supporting: threshold (median of leave-one-gene-out fits),Supporting: LR in this gene,Supporting: tier reached,Moderate: threshold (median of leave-one-gene-out fits),Moderate: LR in this gene,Moderate: tier reached,Strong: threshold (median of leave-one-gene-out fits),Strong: LR in this gene,Strong: tier reached,Note
TP53,Median split,3–10,NT-v2-500M,48,96,Yes,Yes,,,,3.636,5.50,Moderate,,,not evaluable,,,not evaluable,Moderate: tier unreachable in-sample; LOGO median not carried over; Strong: tier unreachable in-sample; LOGO median not carried over
TP53,Median split,3–10,"SpliceAI (±4,999 nt, Walker basis)",48,96,Yes,Yes,,3.23,Supporting,0.4259,3.50,Supporting,0.5537,3.43,Supporting,0.8948,not evaluable,not evaluable,
TP53,Median split,3–50,SpliceAI (±50 nt),48,96,Yes,Yes,,3.08,Supporting,0.33358,2.18,Supporting,0.3791576,2.67,Supporting,0.8836,not evaluable,not evaluable,
TP53,Median split,3–50,Pangolin,48,96,Yes,Yes,,,,0.37675,36.4,Strong,0.4281759,32.3,Strong,0.6740,22.2,Strong,
TP53,Median split,3–50,AlphaGenome,48,96,Yes,No,"declared definition mismatch: the TP53 column was scored with AlphaGenome client v0.6.1 as a maximum absolute raw score, while the analysis-set column the thresholds are fitted on is the client v0.7.0 merged-quantile score, bounded at 2.2. They are different variables, so a threshold fitted on one does not apply to the other.",,,,,,,,,,,,
TP53,Median split,3–50,CADD,48,96,Yes,Yes,,,,19.19,7.33,Moderate,22.60,not evaluable,not evaluable,,,not evaluable,Strong: tier unreachable in-sample; LOGO median not carried over
TP53,Median split,3–50,phyloP-100way,48,96,Yes,Yes,,,,4.085,not evaluable,not evaluable,5.250,not evaluable,not evaluable,,,not evaluable,Strong: tier unreachable in-sample; LOGO median not carried over
TP53,Median split,3–50,phastCons-100way,48,96,Yes,Yes,,,,1.000,not evaluable,not evaluable,,,not evaluable,,,not evaluable,Moderate: tier unreachable in-sample; LOGO median not carried over; Strong: tier unreachable in-sample; LOGO median not carried over
TP53,Median split,3–50,GPN-MSA,48,96,Yes,No,anti-correlated on this gene: different orientation convention,,,,,,,,,,,,
TP53,Median split,3–50,NT-v2-500M,48,96,Yes,Yes,,,,,,not evaluable,,,not evaluable,,,not evaluable,Supporting: tier unreachable in-sample; LOGO median not carried over; Moderate: tier unreachable in-sample; LOGO median not carried over; Strong: tier unreachable in-sample; LOGO median not carried over
TP53,Median split,3–50,"SpliceAI (±4,999 nt, Walker basis)",48,96,Yes,Yes,,3.23,Supporting,0.33358,2.55,Supporting,0.42775,4.00,Supporting,0.8931,not evaluable,not evaluable,
TP53,Mid-band excluded,3–10,SpliceAI (±50 nt),12,125,Yes,Yes,,7.35,Moderate,0.3977,7.58,Moderate,0.56397,7.81,Moderate,0.8993,not evaluable,not evaluable,
TP53,Mid-band excluded,3–10,Pangolin,12,125,Yes,Yes,,,,0.406857997,62.5,Strong,0.5473,125,Strong,0.7039,not evaluable,not evaluable,
TP53,Mid-band excluded,3–10,AlphaGenome,12,125,Yes,No,"declared definition mismatch: the TP53 column was scored with AlphaGenome client v0.6.1 as a maximum absolute raw score, while the analysis-set column the thresholds are fitted on is the client v0.7.0 merged-quantile score, bounded at 2.2. They are different variables, so a threshold fitted on one does not apply to the other.",,,,,,,,,,,,
TP53,Mid-band excluded,3–10,CADD,12,125,Yes,Yes,,,,19.53,10.4,Moderate,,,not evaluable,,,not evaluable,Moderate: tier unreachable in-sample; LOGO median not carried over; Strong: tier unreachable in-sample; LOGO median not carried over
TP53,Mid-band excluded,3–10,phyloP-100way,12,125,Yes,Yes,,,,4.58587,not evaluable,not evaluable,5.34067,not evaluable,not evaluable,,,not evaluable,Strong: tier unreachable in-sample; LOGO median not carried over
TP53,Mid-band excluded,3–10,phastCons-100way,12,125,Yes,Yes,,,,1.000,not evaluable,not evaluable,,,not evaluable,,,not evaluable,Moderate: tier unreachable in-sample; LOGO median not carried over; Strong: tier unreachable in-sample; LOGO median not carried over
TP53,Mid-band excluded,3–10,GPN-MSA,12,125,Yes,No,anti-correlated on this gene: different orientation convention,,,,,,,,,,,,
TP53,Mid-band excluded,3–10,NT-v2-500M,12,125,Yes,Yes,,,,3.636,7.81,Moderate,,,not evaluable,,,not evaluable,Moderate: tier unreachable in-sample; LOGO median not carried over; Strong: tier unreachable in-sample; LOGO median not carried over
TP53,Mid-band excluded,3–10,"SpliceAI (±4,999 nt, Walker basis)",12,125,Yes,Yes,,6.94,Moderate,0.4259,10.4,Moderate,0.5537,11.7,Moderate,0.8948,not evaluable,not evaluable,
TP53,Mid-band excluded,3–50,SpliceAI (±50 nt),12,125,Yes,Yes,,7.35,Moderate,0.33358,6.41,Moderate,0.3791576,7.58,Moderate,0.8836,not evaluable,not evaluable,
TP53,Mid-band excluded,3–50,Pangolin,12,125,Yes,Yes,,,,0.37675,62.5,Strong,0.4281759,62.5,Strong,0.6740,93.8,Strong,
TP53,Mid-band excluded,3–50,AlphaGenome,12,125,Yes,No,"declared definition mismatch: the TP53 column was scored with AlphaGenome client v0.6.1 as a maximum absolute raw score, while the analysis-set column the thresholds are fitted on is the client v0.7.0 merged-quantile score, bounded at 2.2. They are different variables, so a threshold fitted on one does not apply to the other.",,,,,,,,,,,,
TP53,Mid-band excluded,3–50,CADD,12,125,Yes,Yes,,,,19.19,10.4,Moderate,22.60,not evaluable,not evaluable,,,not evaluable,Strong: tier unreachable in-sample; LOGO median not carried over
TP53,Mid-band excluded,3–50,phyloP-100way,12,125,Yes,Yes,,,,4.085,not evaluable,not evaluable,5.250,not evaluable,not evaluable,,,not evaluable,Strong: tier unreachable in-sample; LOGO median not carried over
TP53,Mid-band excluded,3–50,phastCons-100way,12,125,Yes,Yes,,,,1.000,not evaluable,not evaluable,,,not evaluable,,,not evaluable,Moderate: tier unreachable in-sample; LOGO median not carried over; Strong: tier unreachable in-sample; LOGO median not carried over
TP53,Mid-band excluded,3–50,GPN-MSA,12,125,Yes,No,anti-correlated on this gene: different orientation convention,,,,,,,,,,,,
TP53,Mid-band excluded,3–50,NT-v2-500M,12,125,Yes,Yes,,,,,,not evaluable,,,not evaluable,,,not evaluable,Supporting: tier unreachable in-sample; LOGO median not carried over; Moderate: tier unreachable in-sample; LOGO median not carried over; Strong: tier unreachable in-sample; LOGO median not carried over
TP53,Mid-band excluded,3–50,"SpliceAI (±4,999 nt, Walker basis)",12,125,Yes,Yes,,6.94,Moderate,0.33358,8.01,Moderate,0.42775,11.6,Moderate,0.8931,not evaluable,not evaluable,
