n_training_genes,held_out_gene,training_genes,n_test,brier
4,VHL,PALB2+BRCA1+RAD51C+BARD1,53,0.017514568445493074
4,VHL,PALB2+BRCA1+RAD51C+BAP1,53,0.0160892897436234
4,VHL,PALB2+BRCA1+BARD1+BAP1,53,0.01676091051596747
4,VHL,PALB2+RAD51C+BARD1+BAP1,53,0.018786720696895208
4,VHL,BRCA1+RAD51C+BARD1+BAP1,53,0.02183415506260235
4,BAP1,BRCA2+PALB2+BRCA1+RAD51C,267,0.10266474782544911
4,BAP1,BRCA2+PALB2+BRCA1+BARD1,267,0.1003125161206472
4,BAP1,BRCA2+PALB2+BRCA1+VHL,267,0.10383380984430328
4,BAP1,BRCA2+PALB2+RAD51C+BARD1,267,0.10634140551804182
4,BAP1,BRCA2+PALB2+RAD51C+VHL,267,0.11071826742131916
4,BAP1,BRCA2+PALB2+BARD1+VHL,267,0.10279983725405173
4,BAP1,BRCA2+BRCA1+RAD51C+BARD1,267,0.10194080357952576
4,BAP1,BRCA2+BRCA1+RAD51C+VHL,267,0.10238277650340276
4,BAP1,BRCA2+BRCA1+BARD1+VHL,267,0.09832302374148989
4,BAP1,BRCA2+RAD51C+BARD1+VHL,267,0.104038362095371
4,BAP1,PALB2+BRCA1+RAD51C+BARD1,267,0.09905204707260708
4,BAP1,PALB2+BRCA1+RAD51C+VHL,267,0.10343753519481869
4,BAP1,PALB2+BRCA1+BARD1+VHL,267,0.09999429104616206
4,BAP1,PALB2+RAD51C+BARD1+VHL,267,0.10712086140687054
4,BAP1,BRCA1+RAD51C+BARD1+VHL,267,0.10071140557557255
3,BRCA2,PALB2+BRCA1+RAD51C,268,0.05765538287648938
3,BRCA2,PALB2+BRCA1+BARD1,268,0.06002169367964344
3,BRCA2,PALB2+BRCA1+VHL,268,0.06266769342932609
3,BRCA2,PALB2+BRCA1+BAP1,268,0.06417128117256742
3,BRCA2,PALB2+RAD51C+BARD1,268,0.056994764113051516
3,BRCA2,PALB2+RAD51C+VHL,268,0.056132842542619216
3,BRCA2,PALB2+RAD51C+BAP1,268,0.060627215853527365
3,BRCA2,PALB2+BARD1+VHL,268,0.05910260588520571
3,BRCA2,PALB2+BARD1+BAP1,268,0.06157434014224793
3,BRCA2,PALB2+VHL+BAP1,268,0.06392157897893336
3,BRCA2,BRCA1+RAD51C+BARD1,268,0.06196386660122827
3,BRCA2,BRCA1+RAD51C+VHL,268,0.06041494641251646
3,BRCA2,BRCA1+RAD51C+BAP1,268,0.06718079858494487
3,BRCA2,BRCA1+BARD1+VHL,268,0.0657830154541934
3,BRCA2,BRCA1+BARD1+BAP1,268,0.068439160043543
3,BRCA2,BRCA1+VHL+BAP1,268,0.06782374131096212
3,BRCA2,RAD51C+BARD1+VHL,268,0.05689145885574611
